time,country,latitude,longitude
2/6/2016 20:33,KR,37,127.5
2/6/2016 20:33,UA,49,32
2/6/2016 20:33,MX,23,-102
2/6/2016 20:33,US,38,-97
2/6/2016 20:33,DE,51,9
2/6/2016 20:33,MX,23,-102
2/6/2016 20:33,UA,49,32
2/6/2016 20:33,MX,23,-102
2/6/2016 20:33,RU,60,100
2/6/2016 20:33,MX,23,-102
2/6/2016 20:33,MX,23,-102
2/6/2016 20:33,MX,23,-102
2/6/2016 20:33,MX,23,-102
2/6/2016 20:33,MX,23,-102
2/6/2016 20:33,MX,23,-102
2/6/2016 20:33,MX,23,-102
2/6/2016 20:33,MX,23,-102
2/6/2016 20:33,MX,23,-102
2/6/2016 20:33,PE,-10,-76
2/6/2016 20:33,CA,60,-95
2/6/2016 20:33,CA,60,-95
2/6/2016 20:33,HU,47,20
2/6/2016 20:33,CA,60,-95
2/6/2016 20:33,CA,60,-95
2/6/2016 20:33,RU,60,100
2/6/2016 20:33,SI,46,15
2/6/2016 20:33,CA,60,-95
2/6/2016 20:33,CA,60,-95
2/6/2016 20:32,IN,20,77
2/6/2016 20:32,GB,54,-2
2/6/2016 20:32,AU,-27,133
2/6/2016 20:32,ES,40,-4
2/6/2016 20:32,US,38,-97
2/6/2016 20:32,UA,49,32
2/6/2016 20:32,GB,54,-2
2/6/2016 20:32,US,38,-97
2/6/2016 20:32,NZ,-41,174
2/6/2016 20:31,NZ,-41,174
2/6/2016 20:31,NZ,-41,174
2/6/2016 20:31,RU,60,100
2/6/2016 20:31,UA,49,32
2/6/2016 20:31,RU,60,100
2/6/2016 20:31,IL,31.5,34.75
2/6/2016 20:31,CN,35,105
2/6/2016 20:31,IL,31.5,34.75
2/6/2016 20:31,CN,35,105
2/6/2016 20:31,IL,31.5,34.75
2/6/2016 20:31,IL,31.5,34.75
2/6/2016 20:31,US,38,-97
2/6/2016 20:31,MX,23,-102
2/6/2016 20:31,US,38,-97
2/6/2016 20:31,US,38,-97
2/6/2016 20:31,MX,23,-102
2/6/2016 20:31,US,38,-97
2/6/2016 20:31,US,38,-97
2/6/2016 20:31,MX,23,-102
